INPUT — GASTOS,,,,,,,,,,,,,,,,,,,,,,
Cargá acá todos los gastos del año (una sola tabla).,,,,,,,,,,,,,,,,,,,,,,
Tip: cargá TODO el año acá. Categorías y medios de pago se gestionan en CONFIG.,,,,,,,,,,,,,,,,,,,,,,
CARGA GASTOS DIARIOS,,,,,,,,,,"779.507,53",,,,,,,,,,,,
Fecha,Categoría,Subcategoría,Proveedor/Detalle,Descripción,Moneda,Importe,Medio de pago,Notas,TC aplicado,Importe MXN,Mes,Semana,Quincena,,,,,,,,,
24-feb-2026,Gastos Operativos,,libreria impresiones,,MXN," $375,00",Tarjeta,,"1,00","375,00",2026-02,9,2026-02-Q2,,,,,,,,,
24-feb-2026,Gastos Operativos,,ferreteria,,MXN," $560,00",Tarjeta,,"1,00","560,00",2026-02,9,2026-02-Q2,,,,,,,,,
26-feb-2026,Retiros -Mariana,,super maru,,MXN," $1.400,00",Tarjeta,,"1,00","1.400,00",2026-02,9,2026-02-Q2,,,,,,,,,
26-feb-2026,Retiros -Mariana,,temazcal,,MXN," $600,00",Efectivo,,"1,00","600,00",2026-02,9,2026-02-Q2,,,,,,,,,
27-feb-2026,Productos ,,mercado libre,"primer, palitos de naranjo base y top",MXN," $990,00",Tarjeta,,"1,00","990,00",2026-02,9,2026-02-Q2,,,,,,,,,
28-feb-2026,Retiros -Mariana,,super mariana ,,MXN," $3.000,00",Tarjeta,,"1,00","3.000,00",2026-02,9,2026-02-Q2,,,,,,,,,
28-feb-2026,Retiros -Mariana,,Ajuste de caja,Ajuste de caja,MXN,"- $5.714,00",Efectivo,,"1,00","-5.714,00",2026-02,9,2026-02-Q2,,,,,,,,,
28-feb-2026,Retiros -Mariana,,Ajuste de caja,Ajuste de caja,MXN,"- $1.982,00",Tarjeta,,"1,00","-1.982,00",2026-02,9,2026-02-Q2,,,,,,,,,
01-mar-2026,Sueldos/Comisiones,,MILI CORTE 2 FEBRERO,,MXN," $7.872,00",Tarjeta,,"1,00","7.872,00",2026-03,9,2026-03-Q1,,,,,,,,,
01-mar-2026,,,cambio tarjeta a efectivo,,MXN," $260,00",Tarjeta,,"1,00","260,00",2026-03,9,2026-03-Q1,,,,,,,,,
01-mar-2026,,,cambio tarjeta a efectivo,,MXN,"- $260,00",Efectivo,,"1,00","-260,00",2026-03,9,2026-03-Q1,,,,,,,,,
02-mar-2026,Gastos Operativos,,cabinas de uñaa,,MXN," $650,00",Tarjeta,,"1,00","650,00",2026-03,10,2026-03-Q1,,,,,,,,,
02-mar-2026,Productos ,,Kalani productos ,,MXN," $1.081,00",Tarjeta,,"1,00","1.081,00",2026-03,10,2026-03-Q1,,,,,,,,,
02-mar-2026,Gastos Operativos,,super local ,,MXN," $185,00",Tarjeta,,"1,00","185,00",2026-03,10,2026-03-Q1,,,,,,,,,
02-mar-2026,Productos ,,top y base coat,,MXN," $448,00",Tarjeta,,"1,00","448,00",2026-03,10,2026-03-Q1,,,,,,,,,
03-mar-2026,Sueldos/Comisiones,,karen corte 2 febrero,,MXN," $10.041,00",Tarjeta,,"1,00","10.041,00",2026-03,10,2026-03-Q1,,,,,,,,,
03-mar-2026,Gastos Operativos,,impresiones hojas,,MXN," $150,00",Tarjeta,,"1,00","150,00",2026-03,10,2026-03-Q1,,,,,,,,,
04-mar-2026,Inversiones nuevas,,pintura local remodelacion,,MXN," $6.000,00",Tarjeta,,"1,00","6.000,00",2026-03,10,2026-03-Q1,,,,,,,,,
04-mar-2026,Otros,,pago fanny acuerdo,,MXN," $2.000,00",Tarjeta,,,"0,00",2026-03,10,2026-03-Q1,,,,,,,,,
04-mar-2026,Sueldos/Comisiones,,corte FLOR 2 febrero,,MXN," $11.215,00",Efectivo,,"1,00","11.215,00",2026-03,10,2026-03-Q1,,,,,,,,,
04-mar-2026,Impuestos,,FISCALES ,,MXN," $3.000,00",Efectivo,,"1,00","3.000,00",2026-03,10,2026-03-Q1,,,,,,,,,
05-mar-2026,Prestamos ,,PAGO DEUDA ALEX,,MXN," $13.000,00",Tarjeta,,"1,00","13.000,00",2026-03,10,2026-03-Q1,,,,,,,,,
06-mar-2026,Renta,,PAGO ALQUILER LOCAL,,MXN," $17.349,00",Tarjeta,,"1,00","17.349,00",2026-03,10,2026-03-Q1,,,,,,,,,
07-mar-2026,Gastos Operativos,,luz bimestral,,MXN," $1.100,00",Tarjeta,,"1,00","1.100,00",2026-03,10,2026-03-Q1,,,,,,,,,
09-mar-2026,Gastos Operativos,,bolsas desechables pies,,MXN," $252,00",Tarjeta,,"1,00","252,00",2026-03,11,2026-03-Q1,,,,,,,,,
09-mar-2026,Marketing,,juli marketing ,,USD," $150,00",Tarjeta,,"17,00","2.550,00",2026-03,11,2026-03-Q1,,,,,,,,,
09-mar-2026,Marketing,,publicidad ,,MXN," $300,00",Tarjeta,,"1,00","300,00",2026-03,11,2026-03-Q1,,,,,,,,,
11-mar-2026,Retiros -Mariana,,renta depto maru,,MXN," $12.000,00",Tarjeta,,"1,00","12.000,00",2026-03,11,2026-03-Q1,,,,,,,,,
12-mar-2026,Retiros -Mariana,,maru gastos,,MXN," $1.100,00",Tarjeta,,"1,00","1.100,00",2026-03,11,2026-03-Q1,,,,,,,,,
12-mar-2026,Retiros -Mariana,,maru comida,,MXN," $190,00",Tarjeta,,"1,00","190,00",2026-03,11,2026-03-Q1,,,,,,,,,
12-mar-2026,Gastos Operativos,,tornos y guantes,,MXN," $1.100,00",Tarjeta,,"1,00","1.100,00",2026-03,11,2026-03-Q1,,,,,,,,,
13-mar-2026,Otros,,fanny acuerdo,,MXN," $5.000,00",Tarjeta,,"1,00","5.000,00",2026-03,11,2026-03-Q1,,,,,,,,,
13-mar-2026,Retiros -Mariana,,sesion bio ,,MXN," $1.252,00",Tarjeta,,"1,00","1.252,00",2026-03,11,2026-03-Q1,,,,,,,,,
14-mar-2026,Retiros -Mariana,,comida maru ,,MXN," $765,00",Tarjeta,,"1,00","765,00",2026-03,11,2026-03-Q1,,,,,,,,,
12-mar-2026,Otros,,suscripciones ,amazon / edreams / telcel,MXN," $550,00",Tarjeta,,"1,00","550,00",2026-03,11,2026-03-Q1,,,,,,,,,
14-mar-2026,Gastos Operativos,,seven compra agua,,MXN," $141,00",Tarjeta,,"1,00","141,00",2026-03,11,2026-03-Q1,,,,,,,,,
13-mar-2026,Retiros -Mariana,,moku spa ,,MXN," $500,00",Tarjeta,,"1,00","500,00",2026-03,11,2026-03-Q1,,,,,,,,,
11-mar-2026,Retiros -Mariana,,comida maru ,,MXN," $1.450,00",Tarjeta,,"1,00","1.450,00",2026-03,11,2026-03-Q1,,,,,,,,,
08-mar-2026,Retiros -Mariana,,trainor gonzalo,,MXN," $1.500,00",Tarjeta,,"1,00","1.500,00",2026-03,10,2026-03-Q1,,,,,,,,,
07-mar-2026,Otros,,suscripcion chat gpt,,MXN," $438,00",Tarjeta,,"1,00","438,00",2026-03,10,2026-03-Q1,,,,,,,,,
06-mar-2026,Gastos Operativos,,seven eleven ,,MXN," $215,00",Tarjeta,,"1,00","215,00",2026-03,10,2026-03-Q1,,,,,,,,,
04-mar-2026,Otros,,suscripcion apple,,MXN," $179,00",Tarjeta,,"1,00","179,00",2026-03,10,2026-03-Q1,,,,,,,,,
01-mar-2026,Retiros -Mariana,,comida maru ,,MXN," $1.126,00",Tarjeta,,"1,00","1.126,00",2026-03,9,2026-03-Q1,,,,,,,,,
03-mar-2026,Retiros -Mariana,,comida maru arena,,MXN," $500,00",Tarjeta,,"1,00","500,00",2026-03,10,2026-03-Q1,,,,,,,,,
16-mar-2026,Sueldos/Comisiones,,corte mili marzo,,MXN," $7.252,00",Tarjeta,,"1,00","7.252,00",2026-03,12,2026-03-Q2,,,,,,,,,
16-mar-2026,Sueldos/Comisiones,,corte karen marzo,,MXN," $6.000,00",Tarjeta,,"1,00","6.000,00",2026-03,12,2026-03-Q2,,,,,,,,,
16-mar-2026,Sueldos/Comisiones,,corte flor marzo ,,MXN," $6.000,00",Tarjeta,,"1,00","6.000,00",2026-03,12,2026-03-Q2,,,,,,,,,
16-mar-2026,,,cambio tarjeta a efectivo,,MXN," $3.500,00",Tarjeta,,"1,00","3.500,00",2026-03,12,2026-03-Q2,,,,,,,,,
16-mar-2026,,,cambio tarjeta a efectivo,,MXN,"- $3.500,00",Efectivo,,"1,00","-3.500,00",2026-03,12,2026-03-Q2,,,,,,,,,
17-mar-2026,Sueldos/Comisiones,,corte karen marzo,,MXN," $3.400,00",Efectivo,,"1,00","3.400,00",2026-03,12,2026-03-Q2,,,,,,,,,
17-mar-2026,Sueldos/Comisiones,,corte flor marzo ,,MXN," $7.000,00",Efectivo,,"1,00","7.000,00",2026-03,12,2026-03-Q2,,,,,,,,,
17-mar-2026,Retiros -Mariana,,maru retiro miami,,MXN," $1.500,00",Efectivo,,"1,00","1.500,00",2026-03,12,2026-03-Q2,,,,,,,,,
21-mar-2026,Servicios,,amazon servicios ,,MXN," $200,00",Tarjeta,,"1,00","200,00",2026-03,12,2026-03-Q2,,,,,,,,,
21-mar-2026,Retiros -Mariana,,chip miami,,MXN," $270,00",Tarjeta,,"1,00","270,00",2026-03,12,2026-03-Q2,,,,,,,,,
21-mar-2026,Retiros -Mariana,,gastos disney mary,,MXN," $990,00",Tarjeta,,"1,00","990,00",2026-03,12,2026-03-Q2,,,,,,,,,
