INPUT — CORTES (Ventas),,,,,,,,,,,,,,,,
Cargá acá las ventas diarias. No edites DB/CALC.,,,,,,,,,,,,,,,,
Regla: Venta neta negocio = Total cobrado - Propina (propina no cuenta como ingreso del negocio).,,,,,,,,,,,,,,,,
CARGA CORTES DIARIOS,,,,,,,,,,,,,,,,
Fecha,Cliente,Staff,Servicio,Moneda,Total cobrado,Propina,Medio de pago,Notas,Venta neta negocio,TC aplicado,Total MXN,Propina MXN,Neto MXN,Mes,Semana,Quincena
08-ene-2026,juli,FANNY,Esculpidas,MXN," $700,00"," $50,00",Transferencia,," $650,00",1," $700,00"," $50,00"," $650,00",2026-01,2,2026-01-Q1
08-ene-2026,stef,FLOR,Esculpidas,MXN," $845,00"," $110,00",Tarjeta,," $735,00",1," $845,00"," $110,00"," $735,00",2026-01,2,2026-01-Q1
08-ene-2026,alix,MARU,Manos Gel,MXN," $772,00",,Tarjeta,," $772,00",1," $772,00"," $0,00"," $772,00",2026-01,2,2026-01-Q1
08-ene-2026,alix,MARU,Pies Gel ,MXN," $826,00"," $76,00",Tarjeta,," $750,00",1," $826,00"," $76,00"," $750,00",2026-01,2,2026-01-Q1
08-ene-2026,alix,FANNY,Manos Gel,MXN," $1.040,00"," $40,00",Tarjeta,," $1.000,00",1," $1.040,00"," $40,00"," $1.000,00",2026-01,2,2026-01-Q1
08-ene-2026,alix,FLOR,Pies Gel ,MXN," $653,00"," $40,00",Tarjeta,," $613,00",1," $653,00"," $40,00"," $613,00",2026-01,2,2026-01-Q1
08-ene-2026,jorge,MARU,Pies Gel ,MXN," $350,00"," $50,00",Efectivo,," $300,00",1," $350,00"," $50,00"," $300,00",2026-01,2,2026-01-Q1
08-ene-2026,nike,FANNY,Manos Gel,MXN," $981,00"," $89,00",Tarjeta,," $892,00",1," $981,00"," $89,00"," $892,00",2026-01,2,2026-01-Q1
08-ene-2026,nike,FLOR,Manos Gel,MXN," $1.041,00"," $95,00",Tarjeta,," $946,00",1," $1.041,00"," $95,00"," $946,00",2026-01,2,2026-01-Q1
08-ene-2026,rack,MARU,Manos Gel,MXN," $500,00",,Efectivo,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,2,2026-01-Q1
